t,x,y,id
0.0005,1.931327163,2.716725979,0
0.001,1.921938023,2.724826509,0
0.0015,1.903679249,2.727514487,0
0.002,1.935227205,2.734556825,0
0.0025,1.954409951,2.760352551,0
0.003,1.92805168,2.765885516,0
0.0035,1.923523168,2.796794883,0
0.004,1.953874995,2.785491585,0
0.0045,1.951681401,2.775979041,0
0.005,1.925810604,2.759293002,0
0.0055,1.90512527,2.769520512,0
0.006,1.860460335,2.762024329,0
0.0065,1.8713958,2.765170277,0
0.007,1.89407347,2.759706907,0
0.0075,1.906586283,2.74727495,0
0.008,1.938806328,2.768460848,0
0.0085,1.91788995,2.746207922,0
0.009,1.931022231,2.760937846,0
0.0095,1.908101171,2.746436526,0
0.01,1.934462669,2.734021992,0
0.0105,1.945098486,2.70241277,0
0.011,1.916532372,2.73965328,0
0.0115,1.892105525,2.71832881,0
0.012,1.914290977,2.745869017,0
0.0125,1.860734926,2.728364033,0
0.013,1.869757252,2.707639922,0
0.0135,1.925791942,2.693014827,0
0.014,1.922191056,2.706682274,0
0.0145,1.885633839,2.666227527,0
0.015,1.904259131,2.703491481,0
0.0155,1.926289638,2.698215274,0
0.016,1.920611882,2.668491548,0
0.0165,1.912239989,2.662666647,0
0.017,1.925484177,2.671113752,0
0.0175,1.937058282,2.709303334,0
0.018,1.898360621,2.695762496,0
0.0185,1.912506282,2.690764587,0
0.019,1.937640457,2.688239398,0
0.0195,1.957544927,2.677136915,0
0.02,1.951318894,2.682674872,0
0.0205,1.955911479,2.675823718,0
0.021,1.941719318,2.6803879,0
0.0215,1.926403968,2.705128242,0
0.022,1.9016383,2.689628517,0
0.0225,1.919337471,2.697417087,0
0.023,1.935266355,2.704250207,0
0.0235,1.937431521,2.677340537,0
0.024,1.925506958,2.65819471,0
0.0245,1.986253035,2.646757506,0
0.025,1.9949399,2.657023834,0
0.0255,2.00787468,2.637989562,0
0.026,1.999854486,2.637893155,0
0.0265,1.987760833,2.644551541,0
0.027,1.965229299,2.670820191,0
0.0275,1.99409697,2.650041975,0
0.028,1.983712692,2.625758462,0
0.0285,1.984492252,2.637561862,0
0.029,1.976901066,2.610221672,0
0.0295,1.968158449,2.604355941,0
0.03,1.992756066,2.60995492,0
0.0305,1.96238905,2.594052631,0
0.031,2.022789574,2.552923187,0
0.0315,2.052829743,2.551531825,0
0.032,2.041943917,2.589887959,0
0.0325,2.039582414,2.60153542,0
0.033,2.052726414,2.591523512,0
0.0335,2.030393624,2.585289881,0
0.034,2.023258518,2.537527185,0
0.0345,2.037375189,2.571767912,0
0.035,2.06182596,2.566717417,0
0.0355,2.038003223,2.53836776,0
0.036,2.048149776,2.529392458,0
0.0365,2.063720055,2.49335782,0
0.037,2.078973143,2.517427771,0
0.0375,2.090390643,2.484589512,0
0.038,2.075027601,2.466921467,0
0.0385,2.104054348,2.44963085,0
0.039,2.101369194,2.452472626,0
0.0395,2.060997349,2.446344246,0
0.04,2.04696335,2.424985498,0
0.0405,2.010904033,2.377728339,0
0.041,2.065188302,2.461282709,0
0.0415,2.028547676,2.427680024,0
0.042,2.017919071,2.446737374,0
0.0425,2.021448843,2.448426163,0
0.043,2.021349494,2.450848086,0
0.0435,2.060827434,2.414158577,0
0.044,2.061097973,2.456095711,0
0.0445,2.047738934,2.457452868,0
0.045,2.068017089,2.450811366,0
0.0455,2.062710032,2.489174145,0
0.046,2.069215844,2.473788889,0
0.0465,2.068891415,2.476592479,0
0.047,2.058270466,2.514075456,0
0.0475,2.043259499,2.484909754,0
0.048,2.07648328,2.472603692,0
0.0485,2.043660688,2.495919143,0
0.049,2.031243502,2.485246754,0
0.0495,2.057388654,2.513248838,0
0.05,2.045300013,2.480397495,0
0.0505,2.017577371,2.495864328,0
0.051,2.066447451,2.465547502,0
0.0515,2.104931847,2.462516506,0
0.052,2.059316868,2.449805731,0
0.0525,2.081468715,2.468368467,0
0.053,2.083056042,2.422182166,0
0.0535,2.050445047,2.413204192,0
0.054,2.060101685,2.458182131,0
0.0545,2.034027659,2.416791609,0
0.055,2.002081913,2.437340156,0
0.0555,1.975481347,2.418562882,0
0.056,1.951433864,2.37523128,0
0.0565,1.968002357,2.392050442,0
0.057,1.921596297,2.392698742,0
0.0575,1.981052591,2.378777017,0
0.058,2.016129029,2.351016528,0
0.0585,1.927915055,2.388238201,0
0.059,1.989156952,2.45305085,0
0.0595,1.958264002,2.4422591,0
0.06,1.989255531,2.433483895,0
0.0605,1.933011136,2.487806839,0
0.061,1.991861526,2.469402144,0
0.0615,1.871117814,2.447600989,0
0.062,1.827361086,2.45637542,0
0.0625,1.820204618,2.466563557,0
0.063,1.828316353,2.485168983,0
0.0635,1.808157725,2.503857316,0
0.064,1.812161665,2.515654632,0
0.0645,1.777441973,2.523506998,0
0.065,1.806498308,2.469717345,0
0.0655,1.835860156,2.493863735,0
0.066,1.817490253,2.537863028,0
0.0665,1.854778613,2.534603596,0
0.067,1.872358091,2.611959144,0
0.0675,1.834908083,2.626668969,0
0.068,1.862034804,2.612761859,0
